time/days,f_i of nostoc,C,N,P
28.9263888888889,0.142311601223058,0.99938345507653,0.142314662397425,0.466714697880029
28.9270833333333,0.142311602664794,0.99938347246726,0.14231466384332,0.466713170556228
28.9277777777778,0.142311604105904,0.999383489856617,0.142314665288586,0.466711643247844
28.9284722222222,0.142311605546387,0.999383507244602,0.142314666733225,0.466710115954881
28.9291666666667,0.142311606986245,0.999383524631215,0.142314668177237,0.466708588677343
28.9298611111111,0.142311608425477,0.999383542016456,0.14231466962062,0.466707061415233
28.9305555555556,0.142311609864084,0.999383559400325,0.142314671063377,0.466705534168556
28.93125,0.142311611302066,0.999383576782823,0.142314672505507,0.466704006937314
28.9319444444444,0.142311612739424,0.999383594163949,0.142314673947011,0.466702479721512
28.9326388888889,0.142311614176157,0.999383611543703,0.142314675387888,0.466700952521153
28.9333333333333,0.142311615612265,0.999383628922087,0.14231467682814,0.466699425336241
28.9340277777778,0.14231161704775,0.9993836462991,0.142314678267766,0.466697898166779
28.9347222222222,0.142311618482612,0.999383663674742,0.142314679706766,0.466696371012772
28.9354166666667,0.14231161991685,0.999383681049013,0.142314681145141,0.466694843874222
28.9361111111111,0.142311621350465,0.999383698421914,0.142314682582892,0.466693316751134
28.9368055555556,0.142311622783457,0.999383715793445,0.142314684020018,0.466691789643511
28.9375,0.142311624215826,0.999383733163605,0.142314685456519,0.466690262551357
28.9381944444444,0.142311625647574,0.999383750532396,0.142314686892396,0.466688735474676
28.9388888888889,0.142311627078699,0.999383767899817,0.14231468832765,0.466687208413471
28.9395833333333,0.142311628509203,0.999383785265868,0.14231468976228,0.466685681367746
28.9402777777778,0.142311629939085,0.99938380263055,0.142314691196287,0.466684154337504
28.9409722222222,0.142311631368346,0.999383819993862,0.142314692629671,0.46668262732275
28.9416666666667,0.142311632796986,0.999383837355805,0.142314694062432,0.466681100323486
28.9423611111111,0.142311634225006,0.99938385471638,0.142314695494571,0.466679573339717
28.9430555555556,0.142311635652405,0.999383872075585,0.142314696926088,0.466678046371446
28.94375,0.142311637079184,0.999383889433422,0.142314698356983,0.466676519418677
28.9444444444444,0.142311638505343,0.99938390678989,0.142314699787256,0.466674992481414
28.9451388888889,0.142311639930883,0.99938392414499,0.142314701216908,0.466673465559659
28.9458333333333,0.142311641355803,0.999383941498722,0.142314702645939,0.466671938653417
28.9465277777778,0.142311642780105,0.999383958851086,0.142314704074349,0.466670411762692
28.9472222222222,0.142311644203787,0.999383976202082,0.142314705502138,0.466668884887487
28.9479166666667,0.142311645626851,0.99938399355171,0.142314706929307,0.466667358027806
28.9486111111111,0.142311647049297,0.999384010899971,0.142314708355857,0.466665831183651
28.9493055555556,0.142311648471125,0.999384028246865,0.142314709781786,0.466664304355028
28.95,0.142311649892336,0.999384045592391,0.142314711207096,0.46666277754194
28.9506944444444,0.142311651312929,0.99938406293655,0.142314712631787,0.466661250744389
28.9513888888889,0.142311652732904,0.999384080279343,0.142314714055859,0.466659723962381
28.9520833333333,0.142311654152263,0.999384097620769,0.142314715479312,0.466658197195918
28.9527777777778,0.142311655571006,0.999384114960828,0.142314716902147,0.466656670445004
28.9534722222222,0.142311656989132,0.999384132299521,0.142314718324364,0.466655143709643
28.9541666666667,0.142311658406642,0.999384149636847,0.142314719745963,0.466653616989839
28.9548611111111,0.142311659823536,0.999384166972808,0.142314721166944,0.466652090285594
28.9555555555556,0.142311661239814,0.999384184307403,0.142314722587308,0.466650563596913
28.95625,0.142311662655478,0.999384201640632,0.142314724007055,0.4666490369238
28.9569444444444,0.142311664070526,0.999384218972495,0.142314725426186,0.466647510266257
28.9576388888889,0.14231166548496,0.999384236302994,0.142314726844699,0.466645983624289
28.9583333333333,0.142311666898779,0.999384253632126,0.142314728262597,0.466644456997899
28.9590277777778,0.142311668311984,0.999384270959894,0.142314729679878,0.466642930387091
28.9597222222222,0.142311669724575,0.999384288286297,0.142314731096544,0.466641403791868
28.9604166666667,0.142311671136552,0.999384305611335,0.142314732512595,0.466639877212234
28.9611111111111,0.142311672547916,0.999384322935009,0.14231473392803,0.466638350648193
28.9618055555556,0.142311673958667,0.999384340257318,0.14231473534285,0.466636824099747
28.9625,0.142311675368805,0.999384357578263,0.142314736757056,0.466635297566902
28.9631944444444,0.14231167677833,0.999384374897844,0.142314738170647,0.46663377104966
28.9638888888889,0.142311678187243,0.999384392216061,0.142314739583625,0.466632244548025
28.9645833333333,0.142311679595544,0.999384409532915,0.142314740995988,0.466630718062001
28.9652777777778,0.142311681003233,0.999384426848404,0.142314742407738,0.466629191591591
28.9659722222222,0.142311682410311,0.99938444416253,0.142314743818875,0.466627665136799
28.9666666666667,0.142311683816777,0.999384461475293,0.142314745229398,0.466626138697628
28.9673611111111,0.142311685222633,0.999384478786693,0.142314746639309,0.466624612274082
28.9680555555556,0.142311686627877,0.99938449609673,0.142314748048607,0.466623085866165
28.96875,0.142311688032512,0.999384513405404,0.142314749457293,0.46662155947388
28.9694444444444,0.142311689436535,0.999384530712715,0.142314750865367,0.466620033097231
28.9701388888889,0.142311690839949,0.999384548018665,0.14231475227283,0.466618506736221
28.9708333333333,0.142311692242754,0.999384565323251,0.142314753679681,0.466616980390854
28.9715277777778,0.142311693644949,0.999384582626476,0.14231475508592,0.466615454061133
28.9722222222222,0.142311695046535,0.999384599928339,0.142314756491549,0.466613927747063
28.9729166666667,0.142311696447511,0.999384617228839,0.142314757896567,0.466612401448647
28.9736111111111,0.14231169784788,0.999384634527978,0.142314759300975,0.466610875165888
28.9743055555556,0.14231169924764,0.999384651825756,0.142314760704773,0.466609348898789
28.975,0.142311700646791,0.999384669122172,0.142314762107961,0.466607822647355
28.9756944444444,0.142311702045335,0.999384686417228,0.142314763510539,0.466606296411589
28.9763888888889,0.142311703443272,0.999384703710922,0.142314764912508,0.466604770191495
28.9770833333333,0.142311704840601,0.999384721003255,0.142314766313868,0.466603243987076
28.9777777777778,0.142311706237323,0.999384738294228,0.142314767714619,0.466601717798336
28.9784722222222,0.142311707633438,0.99938475558384,0.142314769114762,0.466600191625278
28.9791666666667,0.142311709028947,0.999384772872092,0.142314770514296,0.466598665467906
28.9798611111111,0.14231171042385,0.999384790158984,0.142314771913223,0.466597139326223
28.9805555555556,0.142311711818146,0.999384807444515,0.142314773311541,0.466595613200233
28.98125,0.142311713211837,0.999384824728687,0.142314774709252,0.46659408708994
28.9819444444444,0.142311714604923,0.999384842011499,0.142314776106356,0.466592560995347
28.9826388888889,0.142311715997403,0.999384859292952,0.142314777502854,0.466591034916458
28.9833333333333,0.142311717389278,0.999384876573045,0.142314778898744,0.466589508853276
28.9840277777778,0.142311718780549,0.999384893851779,0.142314780294028,0.466587982805804
28.9847222222222,0.142311720171215,0.999384911129154,0.142314781688706,0.466586456774047
28.9854166666667,0.142311721561277,0.99938492840517,0.142314783082778,0.466584930758009
28.9861111111111,0.142311722950735,0.999384945679827,0.142314784476244,0.466583404757691
28.9868055555556,0.14231172433959,0.999384962953126,0.142314785869105,0.466581878773099
28.9875,0.142311725727841,0.999384980225066,0.142314787261361,0.466580352804235
28.9881944444444,0.142311727115489,0.999384997495648,0.142314788653012,0.466578826851103
28.9888888888889,0.142311728502535,0.999385014764872,0.142314790044058,0.466577300913707
28.9895833333333,0.142311729888977,0.999385032032738,0.1423147914345,0.46657577499205
28.9902777777778,0.142311731274818,0.999385049299246,0.142314792824338,0.466574249086135
28.9909722222222,0.142311732660056,0.999385066564397,0.142314794213573,0.466572723195967
28.9916666666667,0.142311734044693,0.99938508382819,0.142314795602204,0.466571197321549
28.9923611111111,0.142311735428728,0.999385101090626,0.142314796990231,0.466569671462884
28.9930555555556,0.142311736812162,0.999385118351705,0.142314798377656,0.466568145619976
28.99375,0.142311738194994,0.999385135611427,0.142314799764477,0.466566619792829
28.9944444444444,0.142311739577227,0.999385152869792,0.142314801150697,0.466565093981445
28.9951388888889,0.142311740958858,0.9993851701268,0.142314802536314,0.466563568185829
28.9958333333333,0.142311742339889,0.999385187382452,0.142314803921329,0.466562042405984
28.9965277777778,0.142311743720321,0.999385204636748,0.142314805305742,0.466560516641914
